	-0.26	0.24	0.61	0.34	0.57	-0.09	-0.13	-0.34	-0.46	0.19	0.026	-0.42	-0.17	-0.29	-0.05	-0.14
	-0.51	0.06	0.49	0.18	0.01	-0.29	0.02	-0.25	-0.43	0.23	0.15	-0.23	0.107	0.14	-0.09	0.05
	-0.2	0.14	0.73	0.3	-0.28	-0.12	-0.27	-0.22	-0.25	0.24	0.07	0.0	-0.1	-0.06	-0.17	-0.08
	-0.23	-0.05	0.86	0.19	0.57	-0.3	-0.08	-0.42	-0.48	0.53	0.54	0.024	-0.21	-0.32	-0.49	-0.44
	-0.42	0.16	0.87	0.47	0.22	0.07	-0.24	-0.74	-0.45	0.24	0.18	-0.06	-0.05	-0.295	-0.24	-0.27
	-0.49	0.24	0.79	0.24	-0.06	-0.09	-0.28	-0.33	-0.34	0.37	0.31	-0.09	-0.044	-0.4	0.01	-0.05
	0.06	-0.04	0.87	0.39	0.2	-0.1	-0.17	-0.5	-0.52	0.21	0.16	-0.098	-0.24	-0.74	-0.19	0.1
	-0.72	-0.26	0.59	0.33	0.01	0.02	0.0	-0.11	-0.28	0.55	0.25	0.18	0.051	-0.01	0.08	-0.49
	-0.39	-0.16	0.47	0.11	0.11	-0.16	-0.46	-0.51	-0.34	0.24	0.36	0.18	0.059	0.02	0.26	-0.03
	-0.9	-0.09	0.36	0.2	0.1	-0.39	-0.59	-0.09	-0.3	0.41	0.53	-0.04	-0.07	0.097	0.04	0.06
	-0.35	0.14	0.87	0.33	-0.2	-0.44	-0.49	-0.44	-0.36	0.67	0.34	-0.1	0.06	-0.252	-0.21	-0.24
	-0.4	-0.04	0.32	0.42	0.09	0.0	0.09	0.0	-0.1	-0.26	0.04	0.35	-0.01	-0.016	0.06	-0.16
	-0.95	-0.12	0.53	0.06	0.19	-0.32	0.18	0.05	-0.41	0.39	0.7	0.02	-0.01	-0.32	-0.05	0.0
	-0.16	0.25	0.22	0.25	0.04	-0.25	0.02	0.07	-0.01	0.31	0.17	0.08	-0.29	-0.11	-0.39	-0.26
	-0.06	-0.11	1.07	0.34	-0.19	0.02	-0.31	-0.16	-0.28	0.57	0.16	-0.01	-0.017	-0.13	-0.62	-0.35
	-0.32	-0.19	0.93	0.66	-0.27	0.03	-0.25	-0.24	-0.01	0.31	0.14	0.08	-0.24	-0.21	-0.7	-0.18
	-0.32	-0.21	1.11	0.84	-0.14	-0.09	-0.37	-0.59	-0.4	0.44	0.25	0.04	0.08	-0.304	-0.39	-0.36
	-0.14	0.21	0.84	0.19	-0.26	-0.1	-0.03	-0.09	0.0	0.25	0.29	0.55	-0.42	-0.204	-0.25	-0.56
	0.35	0.13	0.8	0.31	-0.31	-0.31	-0.46	-0.51	-0.2	0.36	0.39	-0.08	-0.29	-0.098	0.01	-0.22
	-0.39	0.42	0.81	0.21	0.02	-0.15	-0.36	-0.38	-0.3	0.48	0.52	-0.06	-0.39	-0.185	-0.14	-0.55
	-0.02	-0.31	0.29	0.42	0.2	-0.19	-0.21	-0.37	-0.3	0.36	0.44	0.16	-0.031	0.02	-0.19	-0.47
