	0.05	-0.61	-0.48	-0.86	-0.37	-0.2	-0.02	-0.45	0.01	0.29	0.24	0.04	0.173	0.14	0.7	0.75
	-0.39	-0.59	-0.54	-1.08	-0.63	0.12	-0.05	-0.8	-0.01	0.49	0.41	-0.06	0.099	0.12	0.5	1.09
	-0.17	-0.51	-0.7	-0.47	-0.07	-0.19	-0.12	-0.17	0.2	0.45	-0.07	0.0	0.159	0.3	0.24	0.66
	0.05	-0.48	-0.35	-0.35	-0.32	-0.14	-0.09	-0.17	-0.01	0.39	0.44	-0.24	0.174	0.16	0.18	0.26
	-0.05	-0.65	-0.71	-0.28	-0.25	-0.37	0.0	0.06	0.17	0.5	0.0	0.083	-0.19	0.34	0.09	0.27
	-0.23	-0.8	-1.19	-0.47	-0.05	-0.2	-0.26	-0.49	0.39	0.5	0.45	0.19	0.196	0.16	0.6	0.62
	0.42	0.2	-0.17	-0.57	-0.35	-0.5	-0.17	-0.17	0.26	0.52	0.27	-0.22	0.07	0.144	0.04	-0.07
	-0.091	-1.03	-1.19	-0.75	-0.2	-0.67	-0.41	-0.13	0.48	0.87	0.54	0.41	0.163	0.26	0.24	0.54
	-0.04	-1.24	-1.53	-0.7	-0.38	-0.28	-0.43	-0.17	0.45	0.64	0.59	0.31	0.19	0.383	0.69	0.82
	0.38	-0.72	-0.85	-0.53	-0.71	-0.61	-0.62	-0.2	0.35	0.79	0.59	0.41	0.2	0.29	0.3	0.49
	-0.31	-1.27	-0.99	-0.36	-0.4	-0.21	0.11	0.04	0.22	0.87	0.5	0.56	0.04	0.133	0.05	0.43
	0.36	-0.67	-1.36	-0.72	-0.47	-0.3	-0.83	-0.46	0.21	0.57	0.5	0.26	0.244	0.35	1.03	0.64
	0.81	-0.25	-0.86	-0.77	-0.57	-0.85	-0.74	-0.3	0.03	0.54	0.53	0.26	0.12	0.21	0.08	1.03
	0.44	-0.23	-0.5	-0.47	-0.96	-0.73	-0.33	-0.62	0.18	0.71	0.8	0.5	0.22	0.199	-0.11	0.42
